attrs,values
units,"m/s"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,wind_speed
0,2022-05-22 15:00:00,0,3469,0.13900000,52.87300110,5.09999990
0,2022-05-22 15:00:00,0,3482,0.56599998,52.65100098,5.09999990
0,2022-05-22 15:00:00,0,3488,1.12300003,52.94900131,5.09999990
0,2022-05-22 15:00:00,0,3502,-4.56699991,52.13299942,8.19999981
0,2022-05-22 15:00:00,0,3503,-3.94799995,52.34400177,3.09999990
0,2022-05-22 15:00:00,0,3507,-3.61500001,52.06299973,5.69999981
0,2022-05-22 15:00:00,0,3520,-2.88599992,52.24300003,6.69999981
0,2022-05-22 15:00:00,0,3522,-2.80200005,52.08000183,3.59999990
0,2022-05-22 15:00:00,0,3529,-2.04099989,52.14799881,4.09999990
0,2022-05-22 15:00:00,0,3535,-1.69099998,52.47999954,4.59999990
0,2022-05-22 15:00:00,0,3544,-1.33099997,52.35900116,2.09999990
0,2022-05-22 15:00:00,0,3560,-0.46500000,52.22700119,3.09999990
0,2022-05-22 15:00:00,0,3590,0.95700002,52.12400055,4.09999990
0,2022-05-22 15:00:00,0,3604,-5.05299997,51.70899963,5.09999990
0,2022-05-22 15:00:00,0,3605,-4.36700010,51.71400070,5.09999990
0,2022-05-22 15:00:00,0,3609,-3.98200011,51.56600189,4.09999990
0,2022-05-22 15:00:00,0,3647,-1.69299996,51.86100006,5.09999990
0,2022-05-22 15:00:00,0,3649,-1.57799995,51.75799942,3.09999990
0,2022-05-22 15:00:00,0,3658,-1.09899998,51.61999893,4.59999990
0,2022-05-22 15:00:00,0,3660,-0.80000001,51.68299866,3.59999990
0,2022-05-22 15:00:00,0,3672,-0.41700000,51.54899979,3.59999990
0,2022-05-22 15:00:00,0,3680,-0.35800001,51.80599976,
0,2022-05-22 15:00:00,0,3684,0.45100001,51.89599991,4.09999990
0,2022-05-22 15:00:00,0,3693,0.82700002,51.55500031,5.09999990
0,2022-05-22 15:00:00,0,3707,-4.14900017,51.08900070,5.69999981
0,2022-05-22 15:00:00,0,3710,-3.60899997,51.08700180,3.09999990
0,2022-05-22 15:00:00,0,3716,-3.44099998,51.40499878,5.69999981
0,2022-05-22 15:00:00,0,3740,-1.99199998,51.50299835,
0,2022-05-22 15:00:00,0,3743,-1.81700003,51.20000076,3.59999990
