attrs,values
units,"1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,neighbour_selection_method,vertical_displacement
0,2000-01-01,0,460,1.28999996,52.06000137,nearest,30.87162971
0,2000-01-01,0,461,-1.40999997,51.11000061,nearest,-26.81161499
0,2000-01-01,0,462,-1.25999999,51.06000137,nearest,8.91230011
0,2000-01-01,0,463,-0.57999998,51.61000061,nearest,-19.90477753
0,2000-01-01,0,464,-4.28809977,55.86090088,nearest,-24.39792442
0,2000-01-01,0,465,-4.29379988,55.85829926,nearest,-24.39792442
0,2000-01-01,0,466,-3.75900006,56.57569885,nearest,55.72723389
0,2000-01-01,0,467,-3.61109996,55.39619827,nearest,65.55163574
0,2000-01-01,0,468,-7.85160017,54.86640167,nearest,-18.34317017
0,2000-01-01,0,470,-2.64910007,57.66510010,nearest,60.05603790
0,2000-01-01,0,471,-6.46540022,57.43920135,nearest,27.97697449
0,2000-01-01,0,472,-3.23740005,58.46020126,nearest,27.16102600
0,2000-01-01,0,473,-4.43860006,57.71549988,nearest,198.63610840
0,2000-01-01,0,474,-5.28240013,56.37990189,nearest,164.55450439
0,2000-01-01,0,475,-3.43059993,56.30619812,nearest,17.91403198
0,2000-01-01,0,476,-3.35840011,54.85810089,nearest,2.01179409
0,2000-01-01,0,477,-1.79799998,54.75510025,nearest,49.87417603
0,2000-01-01,0,478,-2.63840008,54.33369827,nearest,27.31610107
0,2000-01-01,0,479,-3.13649988,54.24710083,nearest,140.36167908
0,2000-01-01,0,480,-1.91509998,54.88249969,nearest,16.20216370
0,2000-01-01,0,481,0.23379999,53.14410019,nearest,2.08453417
0,2000-01-01,0,482,-4.34060001,53.37670135,nearest,13.97480774
0,2000-01-01,0,483,-3.57870007,52.36249924,nearest,80.62588501
0,2000-01-01,0,484,-2.28819990,53.76509857,nearest,95.94104004
0,2000-01-01,0,485,-1.64760005,53.99679947,nearest,55.70454407
0,2000-01-01,0,486,-3.96650004,52.46369934,nearest,99.46069336
0,2000-01-01,0,487,-3.47440004,51.56449890,nearest,85.59072876
0,2000-01-01,0,488,-1.14010000,53.11690140,nearest,6.89271545
0,2000-01-01,0,489,-3.44799995,55.53939819,nearest,73.12261963
0,2000-01-01,0,490,-0.28230000,54.00439835,nearest,0.24080515
0,2000-01-01,0,491,-3.43510008,52.58229828,nearest,19.17230225
0,2000-01-01,0,492,-1.25430000,54.49110031,nearest,28.10033035
0,2000-01-01,0,493,-1.17799997,52.50049973,nearest,26.78459167
0,2000-01-01,0,494,-2.11400008,57.31549835,nearest,17.52199936
0,2000-01-01,0,501,-1.46959996,53.38240051,nearest,-76.91565704
0,2000-01-01,0,503,-3.57419991,55.23899841,nearest,-6.40505981
0,2000-01-01,0,504,-2.08780003,57.18610001,nearest,-36.46486664
0,2000-01-01,0,505,10.09119987,53.67350006,nearest,-0.60307312
0,2000-01-01,0,508,6.78840017,53.45159912,nearest,2.00000000
0,2000-01-01,0,509,4.38399982,51.66550064,nearest,1.00000000
0,2000-01-01,0,513,-2.24799991,53.66199875,nearest,59.61886597
0,2000-01-01,0,514,-3.48399997,53.10900116,nearest,151.31503296
0,2000-01-01,0,515,-3.94280005,55.70169830,nearest,31.20137024
0,2000-01-01,0,516,-3.51239991,51.69110107,nearest,50.72106934
0,2000-01-01,0,517,-2.57739997,57.62689972,nearest,-28.17655182
0,2000-01-01,0,518,-9.38189983,51.62979889,nearest,170.92559814
0,2000-01-01,0,519,-4.22970009,55.77059937,nearest,-159.23257446
0,2000-01-01,0,520,-1.89760005,54.91260147,nearest,25.72078705
0,2000-01-01,0,521,-0.09800000,52.51100159,nearest,2.00000000
0,2000-01-01,0,522,-1.76830006,54.76470184,nearest,89.92504883
0,2000-01-01,0,523,-2.00850010,55.15710068,nearest,-20.78936768
0,2000-01-01,0,531,-2.91589999,54.02780151,nearest,22.86878586
0,2000-01-01,0,532,1.61889994,52.21179962,nearest,16.00000000
0,2000-01-01,0,533,0.96399999,50.91339874,nearest,23.00000000
0,2000-01-01,0,534,-1.71980000,52.45389938,nearest,1.73489380
