attrs,values
units,"m s-1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,wind_speed,percentile
0,2023-02-17 06:00:00,6,287,-3.21630001,55.11270142,9.30937004,50.00000000
0,2023-02-17 06:00:00,6,288,-2.68939996,59.18960190,15.65470028,50.00000000
0,2023-02-17 06:00:00,6,289,-5.67910004,55.49380112,8.17924023,50.00000000
0,2023-02-17 06:00:00,6,294,-7.02440023,54.96319962,5.33455992,50.00000000
0,2023-02-17 06:00:00,6,301,-7.61670017,54.15850067,3.59074998,50.00000000
0,2023-02-17 06:00:00,6,303,-7.11269999,54.50270081,4.94184017,50.00000000
0,2023-02-17 06:00:00,6,307,-4.88299990,57.71699905,10.25263977,50.00000000
0,2023-02-17 06:00:00,6,311,-4.02169991,52.30469894,7.94388008,50.00000000
0,2023-02-17 06:00:00,6,313,-1.41639996,54.76290131,10.14393044,50.00000000
0,2023-02-17 06:00:00,6,314,-3.17759991,54.18830109,9.23711967,50.00000000
0,2023-02-17 06:00:00,6,315,-3.13240004,55.71070099,10.68097019,50.00000000
0,2023-02-17 06:00:00,6,316,-3.55520010,54.65560150,8.70923996,50.00000000
0,2023-02-17 06:00:00,6,317,-3.54299998,54.67480087,9.96345997,50.00000000
0,2023-02-17 06:00:00,6,341,-1.43350005,54.83179855,10.14696026,50.00000000
0,2023-02-17 06:00:00,6,342,-1.44140005,54.77590179,9.93710995,50.00000000
0,2023-02-17 06:00:00,6,343,-1.37629998,54.66680145,9.37308025,50.00000000
0,2023-02-17 06:00:00,6,344,-3.38019991,55.15470123,7.33971977,50.00000000
0,2023-02-17 06:00:00,6,348,1.13999999,51.45000076,9.36347008,50.00000000
0,2023-02-17 06:00:00,6,349,0.95969999,50.91339874,11.14449978,50.00000000
0,2023-02-17 06:00:00,6,350,-1.18110001,54.63550186,8.67043972,50.00000000
0,2023-02-17 06:00:00,6,351,-2.91779995,54.03049850,9.74450970,50.00000000
0,2023-02-17 06:00:00,6,352,-3.13170004,51.20709991,9.24717999,50.00000000
0,2023-02-17 06:00:00,6,353,-4.89650011,55.72019958,7.99750996,50.00000000
0,2023-02-17 06:00:00,6,355,-2.40799999,55.96799850,14.09646034,50.00000000
0,2023-02-17 06:00:00,6,356,-0.23029999,52.93460083,8.29763031,50.00000000
0,2023-02-17 06:00:00,6,357,-3.67389989,52.63790131,6.79371977,50.00000000
0,2023-02-17 06:00:00,6,358,-4.54589987,50.64799881,7.19189978,50.00000000
0,2023-02-17 06:00:00,6,359,-3.07850003,54.87300110,9.59768963,50.00000000
0,2023-02-17 06:00:00,6,362,-1.68799996,54.82049942,13.07444954,50.00000000
