attrs,values
units,"m s-1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"['[', '0', ',', ' ', '0', ']']"
level,time,dtime,id,lon,lat,wind_speed,percentile
0.00000000,2023-02-20 06:00:00,6,286,-2.69300008,57.45019913,4.40671206,50.00000000
0.00000000,2023-02-20 06:00:00,6,287,-3.21630001,55.11270142,5.00341463,50.00000000
0.00000000,2023-02-20 06:00:00,6,288,-2.68939996,59.18960190,16.22973442,50.00000000
0.00000000,2023-02-20 06:00:00,6,289,-5.67910004,55.49380112,4.85771704,50.00000000
0.00000000,2023-02-20 06:00:00,6,294,-7.02440023,54.96319962,5.98603439,50.00000000
0.00000000,2023-02-20 06:00:00,6,301,-7.61670017,54.15850067,5.46313000,50.00000000
0.00000000,2023-02-20 06:00:00,6,303,-7.11269999,54.50270081,5.58273220,50.00000000
0.00000000,2023-02-20 06:00:00,6,307,-4.88299990,57.71699905,7.86551762,50.00000000
0.00000000,2023-02-20 06:00:00,6,311,-4.02169991,52.30469894,4.07232618,50.00000000
0.00000000,2023-02-20 06:00:00,6,313,-1.41639996,54.76290131,7.22014809,50.00000000
0.00000000,2023-02-20 06:00:00,6,314,-3.17759991,54.18830109,5.20737886,50.00000000
0.00000000,2023-02-20 06:00:00,6,315,-3.13240004,55.71070099,7.67094374,50.00000000
0.00000000,2023-02-20 06:00:00,6,316,-3.55520010,54.65560150,5.47399473,50.00000000
0.00000000,2023-02-20 06:00:00,6,317,-3.54299998,54.67480087,7.15286303,50.00000000
0.00000000,2023-02-20 06:00:00,6,341,-1.43350005,54.83179855,6.49843454,50.00000000
0.00000000,2023-02-20 06:00:00,6,342,-1.44140005,54.77590179,6.12881947,50.00000000
0.00000000,2023-02-20 06:00:00,6,343,-1.37629998,54.66680145,5.50348282,50.00000000
0.00000000,2023-02-20 06:00:00,6,344,-3.38019991,55.15470123,3.39880824,50.00000000
0.00000000,2023-02-20 06:00:00,6,348,1.13999999,51.45000076,5.18406010,50.00000000
0.00000000,2023-02-20 06:00:00,6,349,0.95969999,50.91339874,3.81422210,50.00000000
0.00000000,2023-02-20 06:00:00,6,350,-1.18110001,54.63550186,5.46327591,50.00000000
0.00000000,2023-02-20 06:00:00,6,351,-2.91779995,54.03049850,7.42352152,50.00000000
0.00000000,2023-02-20 06:00:00,6,352,-3.13170004,51.20709991,3.23138380,50.00000000
0.00000000,2023-02-20 06:00:00,6,353,-4.89650011,55.72019958,4.67600441,50.00000000
