attrs,values
units,"1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,forecast_reference_time_hour,scaled_vertical_displacement
0,2000-01-01,6,472,-3.23740005,58.46020126,3.00000000,1.04801953
0,2000-01-01,6,473,-4.43860006,57.71549988,3.00000000,1.40918136
0,2000-01-01,6,474,-5.28240013,56.37990189,3.00000000,1.32864034
0,2000-01-01,6,475,-3.43059993,56.30619812,3.00000000,1.03141773
0,2000-01-01,6,476,-3.35840011,54.85810089,3.00000000,1.00347996
0,2000-01-01,6,477,-1.79799998,54.75510025,3.00000000,1.08994114
0,2000-01-01,6,478,-2.63840008,54.33369827,3.00000000,1.04830015
0,2000-01-01,6,479,-3.13649988,54.24710083,3.00000000,1.27427757
0,2000-01-01,6,480,-1.91509998,54.88249969,3.00000000,1.02837336
0,2000-01-01,6,481,0.23379999,53.14410019,3.00000000,1.00360608
0,2000-01-01,6,482,-4.34060001,53.37670135,3.00000000,1.02442551
0,2000-01-01,6,483,-3.57870007,52.36249924,3.00000000,1.14938438
0,2000-01-01,6,484,-2.28819990,53.76509857,3.00000000,1.18018711
0,2000-01-01,6,485,-1.64760005,53.99679947,3.00000000,1.10097015
0,2000-01-01,6,486,-3.96650004,52.46369934,3.00000000,1.18738186
0,2000-01-01,6,487,-3.47440004,51.56449890,3.00000000,1.15928078
0,2000-01-01,6,488,-1.14010000,53.11690140,3.00000000,1.01197362
0,2000-01-01,6,489,-3.44799995,55.53939819,3.00000000,1.13458812
0,2000-01-01,6,490,-0.28230000,54.00439835,3.00000000,1.00041592
0,2000-01-01,6,491,-3.43510008,52.58229828,3.00000000,1.03366125
0,2000-01-01,6,492,-1.25430000,54.49110031,3.00000000,1.04972076
0,2000-01-01,6,493,-1.17799997,52.50049973,3.00000000,1.04733849
0,2000-01-01,6,494,-2.11400008,57.31549835,3.00000000,1.03071988
0,2000-01-01,6,501,-1.46959996,53.38240051,3.00000000,0.87562305
0,2000-01-01,6,503,-3.57419991,55.23899841,3.00000000,0.98900050
0,2000-01-01,6,504,-2.08780003,57.18610001,3.00000000,0.93897325
0,2000-01-01,6,505,10.09119987,53.67350006,3.00000000,0.99895912
0,2000-01-01,6,508,6.78840017,53.45159912,3.00000000,1.00345957
0,2000-01-01,6,509,4.38399982,51.66550064,3.00000000,1.00172830
0,2000-01-01,6,513,-2.24799991,53.66199875,3.00000000,1.10843718
0,2000-01-01,6,514,-3.48399997,53.10900116,3.00000000,1.29860926
0,2000-01-01,6,515,-3.94280005,55.70169830,3.00000000,1.05535710
0,2000-01-01,6,516,-3.51239991,51.69110107,3.00000000,1.09153628
0,2000-01-01,6,517,-2.57739997,57.62689972,3.00000000,0.95250881
0,2000-01-01,6,518,-9.38189983,51.62979889,3.00000000,1.34333837
0,2000-01-01,6,519,-4.22970009,55.77059937,3.00000000,0.75959784
0,2000-01-01,6,520,-1.89760005,54.91260147,3.00000000,1.04541624
0,2000-01-01,6,521,-0.09800000,52.51100159,3.00000000,1.00345957
0,2000-01-01,6,522,-1.76830006,54.76470184,3.00000000,1.16799009
0,2000-01-01,6,523,-2.00850010,55.15710068,3.00000000,0.96473724
0,2000-01-01,6,531,-2.91589999,54.02780151,3.00000000,1.02799666
0,2000-01-01,6,532,1.61889994,52.21179962,3.00000000,1.01707900
0,2000-01-01,6,533,0.96399999,50.91339874,3.00000000,1.04051614
0,2000-01-01,6,534,-1.71980000,52.45389938,3.00000000,1.00300038
0,2000-01-01,6,537,-2.78629994,53.88859940,3.00000000,0.98496079
0,2000-01-01,6,538,-6.55240011,52.62210083,3.00000000,0.99246073
0,2000-01-01,6,539,-9.15820026,52.10770035,3.00000000,0.98650980
0,2000-01-01,6,540,-8.93789959,51.81169891,3.00000000,1.01042247
0,2000-01-01,6,541,-3.07879996,55.18420029,3.00000000,0.90440160
0,2000-01-01,6,542,-3.12350011,58.43700027,3.00000000,1.04101646
0,2000-01-01,6,543,-3.45910001,52.92229843,3.00000000,0.86124533
0,2000-01-01,6,545,7.65829992,49.96879959,3.00000000,0.63983548
0,2000-01-01,6,553,-2.61139989,55.96500015,3.00000000,1.02131486
0,2000-01-01,6,554,-3.78160000,55.86650085,3.00000000,1.07658863
0,2000-01-01,6,555,-1.55400002,55.11149979,3.00000000,1.01304913
0,2000-01-01,6,556,-1.02670002,53.07249832,3.00000000,1.07313418
0,2000-01-01,6,557,-1.26220000,52.62960052,3.00000000,1.01287293
0,2000-01-01,6,558,-1.09909999,52.29539871,3.00000000,0.98055011
0,2000-01-01,6,559,0.13020000,53.23989868,3.00000000,1.05754507
0,2000-01-01,6,560,1.48810005,52.29629898,3.00000000,1.01544535
0,2000-01-01,6,561,-5.15780020,50.28260040,3.00000000,1.05707932
0,2000-01-01,6,562,-0.52859998,54.15100098,3.00000000,1.08166981
0,2000-01-01,6,563,-1.33109999,53.61569977,3.00000000,1.04080391
0,2000-01-01,6,564,-1.75940001,55.49969864,3.00000000,1.04347014
0,2000-01-01,6,565,0.91769999,51.71799850,3.00000000,0.99725580
0,2000-01-01,6,566,-0.86699998,53.66770172,3.00000000,1.00000000
0,2000-01-01,6,567,-3.47399998,52.95550156,3.00000000,1.19184101
0,2000-01-01,6,568,-0.02360000,52.53390121,3.00000000,1.00172830
0,2000-01-01,6,569,-5.20289993,50.04479980,3.00000000,1.02184701
0,2000-01-01,6,570,-4.38700008,50.49850082,3.00000000,1.13961899
0,2000-01-01,6,571,-1.43869996,54.77970123,3.00000000,1.10630107
0,2000-01-01,6,572,-3.16939998,54.77379990,3.00000000,1.08466434
0,2000-01-01,6,573,-1.41540003,54.83050156,3.00000000,1.01491737
0,2000-01-01,6,574,-1.23800004,53.31159973,3.00000000,1.01756740
0,2000-01-01,6,575,-2.84759998,53.89820099,3.00000000,0.99682307
0,2000-01-01,6,576,-0.12070000,52.46210098,3.00000000,1.00172830
0,2000-01-01,6,577,-5.14060020,50.17559814,3.00000000,1.18665695
0,2000-01-01,6,578,-0.60329998,53.84799957,3.00000000,1.02120328
0,2000-01-01,6,579,-1.40680003,54.83259964,3.00000000,1.03242469
0,2000-01-01,6,580,-4.86259985,50.47930145,3.00000000,1.07654023
0,2000-01-01,6,581,-0.17160000,52.55659866,3.00000000,1.01161194
0,2000-01-01,6,582,1.12559998,52.33349991,3.00000000,1.01298225
0,2000-01-01,6,583,-4.16900015,58.51559830,3.00000000,1.03603756
0,2000-01-01,6,584,-9.24090004,53.28689957,3.00000000,1.04986703
